sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Ruedi:2 Lustenberger:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social - Social,Christian Democratic People ' s Party,0,Christian Democratic People ' s Party,0,-0.70801
[CLS] Akira Nishino:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Yamagata:3,New Frontier Party,0,New Frontier Party,0,-0.72205
[CLS] Robert Weld:2 Mitchell is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Canada,0,Progressive Conservative Party of Canada,0,-0.41074
[CLS] Honoré Achim:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Achim:3,Liberal Party of Canada,0,Liberal Party of Canada,0,-0.04144
[CLS] William A . Wilkins is a member of the [MASK] [MASK] political party . [SEP],United States,Labour Party,0,Labour Party,0,-0.32499
[CLS] Gaspar Zarrías:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,Spanish Socialist Workers ' Party,0,Spanish Socialist Workers ' Party,0,-1.15085
[CLS] Edmund Stoiber:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],L . A .,Christian Social Union of Bavaria,0,Christian Social Union of Bavaria,0,-1.30926
[CLS] Arthur Maloney:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Canada,0,Progressive Conservative Party of Canada,0,-0.30938
[CLS] Joseph Martin is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Australian Labor Party,0,Australian Labor Party,0,-0.76559
[CLS] Rafael Paasio:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Communist Party of Peru,Social Democratic Party of Finland,0,Social Democratic Party of Finland,0,-1.37492
[CLS] John Tory:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],John Tory:2,Progressive Conservative Party of Ontario,0,Progressive Conservative Party of Ontario,0,-0.05570
[CLS] Harry Andrew Moore is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Canada,0,Progressive Conservative Party of Canada,0,-0.29449
[CLS] Amanda Vanstone:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Liberal Party of Australia,0,Liberal Party of Australia,0,-0.68745
[CLS] Gabriel Loubier:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Union Nationale,0,Union Nationale,0,-0.99202
[CLS] Władysław Lizoń:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Poland,Conservative Party of Canada,0,Conservative Party of Canada,0,-1.06649
[CLS] Marek Rocki:2 is a member of the [MASK] [MASK] political party . [SEP],Rocki:2,Civic Platform,0,Civic Platform,0,-0.16917
[CLS] Jean Dubuc:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Démoc:3,Quebec Liberal Party,0,Quebec Liberal Party,0,-0.94378
[CLS] Li Jishen:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of China,Kuomintang:3,0,Kuomintang:3,0,-0.58058
[CLS] Ad Melkert:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Labour Party,0,Labour Party,0,-1.10409
[CLS] John Ewasew:3 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Liberal Party of Canada,0,Liberal Party of Canada,0,-0.72259
[CLS] Hilde:2 Houben:2 - Bertrand is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Christian Democratic and Flemish:3,0,Christian Democratic and Flemish:3,0,-0.81399
[CLS] Joanne Benson is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Republican Party of Minnesota,0,Republican Party of Minnesota,0,-0.46969
[CLS] Terry Donahoe:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Association of Nova Scotia,0,Progressive Conservative Association of Nova Scotia,0,-0.44203
[CLS] Thomas Robertson is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Nova Scotia Liberal Party,0,Nova Scotia Liberal Party,0,-0.19380
[CLS] Ricardo Balbín:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],P . P .,Radical Civic Union,0,Radical Civic Union,0,-1.17545
[CLS] Ed Fulton is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Ontario Liberal Party,0,Ontario Liberal Party,0,-0.59621
[CLS] Paul Crittenden:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],New New New New New,Australian Labor Party,0,Australian Labor Party,0,-1.46363
[CLS] Agar:2 Rodney Adamson:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Progressive Conservative Party of Canada,0,Progressive Conservative Party of Canada,0,-0.77905
[CLS] Len Webber is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Lords,Progressive Conservative Association of Alberta,0,Progressive Conservative Association of Alberta,0,-0.54620
[CLS] Andrzej Gołaś:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Poland,Civic Platform,0,Civic Platform,0,-1.18811
[CLS] Stewart Maxwell is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Scottish National Party,0,Scottish National Party,0,-0.28996
[CLS] Mikalay:2 Dzyemyantsyey:6 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Nakhtiari:4,Communist Party of the Soviet Union,0,Communist Party of the Soviet Union,0,-0.68273
[CLS] Giriraj:3 Poddar:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party,0,Bharatiya:4 Janata:2 Party,0,-0.86865
[CLS] Wacław:3 Frankowski:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],party - party,Polish Workers ' Party,0,Polish Workers ' Party,0,-0.84705
[CLS] Allen Trimble:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Federalist:2 Party,0,Federalist:2 Party,0,-0.43121
[CLS] Floyd M . Baker is a member of the [MASK] [MASK] [MASK] political party . [SEP],Greensboro:3,Alberta Social Credit Party,0,Alberta Social Credit Party,0,-0.93798
[CLS] Cristian Castaño:2 Contreras is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,National Action Party,0,National Action Party,0,-1.03314
[CLS] Apiwan:3 Wiriyachai:4 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Pheu:2 Thai Party,0,Pheu:2 Thai Party,0,-0.72803
[CLS] Donald Archibald is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Nova Scotia Liberal Party,0,Nova Scotia Liberal Party,0,-0.37611
[CLS] Qu Qiubai:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of China,Communist Party of China,0,Communist Party of China,0,-0.52023
[CLS] Jack Melloy:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Australian Labor Party,0,Australian Labor Party,0,-0.62923
[CLS] Paul Piesse:2 is a member of the [MASK] [MASK] political party . [SEP],P P,New Zealand Labour Party,0,New Zealand Labour Party,0,-1.04869
[CLS] Mark Norris is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Association of Alberta,0,Progressive Conservative Association of Alberta,0,-0.42856
[CLS] Hamid Khan is a member of the [MASK] [MASK] political party . [SEP],Pakistan Pakistan,Pakistan Tehreek:3 - e - Insaf:3,0,Pakistan Tehreek:3 - e - Insaf:3,0,-0.88560
[CLS] Louis Ruchonnet:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],L ' Union,Free Democratic Party of Switzerland,0,Free Democratic Party of Switzerland,0,-1.17321
[CLS] Aruna:2 Kumari:2 Galla:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Indian National Congress,0,Indian National Congress,0,-0.70888
[CLS] P . J . Sheehan:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Jana,Fine Gael:2,0,Fine Gael:2,0,-1.36827
[CLS] Mate Granić:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Serbia,Croatian Democratic Union,0,Croatian Democratic Union,0,-0.90438
[CLS] Georges Mamelonet:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Démoc:3,Quebec Liberal Party,0,Quebec Liberal Party,0,-1.21382
[CLS] Alfred Gilpin:2 Jones is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Anti - Confederation Party,0,Anti - Confederation Party,0,-0.80801
[CLS] James McKay Harding is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Association of Nova Scotia,0,Progressive Conservative Association of Nova Scotia,0,-0.46986
[CLS] Paranjape:3 Prakash:3 Vishvanath:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Janata:2 Party,Shiv:2 Sena,0,Shiv:2 Sena,0,-0.77919
[CLS] Masashi:2 Ishibashi:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],JJJ:3,Social Democratic Party,0,Social Democratic Party,0,-0.65882
[CLS] Vasil:2 Biľak:3 is a member of the [MASK] [MASK] political party . [SEP],Slovakian:2,Communist Party of Czechoslovakia,0,Communist Party of Czechoslovakia,0,-0.39255
[CLS] Michael Clapham:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Labour Party,0,Labour Party,0,-0.22056
[CLS] Kyle Seeback:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Greensboro:3,Conservative Party of Canada,0,Conservative Party of Canada,0,-1.38058
[CLS] Royal Theodore Graham is a member of the [MASK] [MASK] political party . [SEP],Sovereign:2,Liberal Party of Canada,0,Liberal Party of Canada,0,-1.04662
[CLS] Girish:3 Bapat:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party,0,Bharatiya:4 Janata:2 Party,0,-0.90376
[CLS] Cameron Murphy is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party,0,Australian Labor Party,0,-0.39026
[CLS] John Curtin:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Lords,Australian Labor Party,0,Australian Labor Party,0,-0.38505
[CLS] Michael Aird:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party,0,Australian Labor Party,0,-0.34987
[CLS] Klaus - Dieter Fritsche:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Nazi Party of Germany,Christian Social Union of Bavaria,0,Christian Social Union of Bavaria,0,-0.85118
[CLS] Donald Ewen:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Progressive Conservative Party of Ontario,0,Progressive Conservative Party of Ontario,0,-0.70659
[CLS] Katrina Shanks:2 is a member of the [MASK] [MASK] political party . [SEP],United States,New Zealand National Party,0,New Zealand National Party,0,-0.48947
[CLS] Achille - Ferdinand Carrier is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Quebec Liberal Party,0,Quebec Liberal Party,0,-1.04476
[CLS] Arthur - Joseph Lapointe:3 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Liberal Party of Canada,0,Liberal Party of Canada,0,-1.32342
[CLS] R . Margabandhu:4 is a member of the [MASK] [MASK] political party . [SEP],Congress Party,All India Anna Dravida:3 Munnetra:3 Kazhagam:4,0,All India Anna Dravida:3 Munnetra:3 Kazhagam:4,0,-0.96406
[CLS] Barry Seal is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Labour Party,0,Labour Party,0,-0.42582
[CLS] Luigi Di Maio is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Social Party,Five Star Movement,0,Five Star Movement,0,-1.04493
[CLS] Robert Greenshields:4 Meikle:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Quebec Liberal Party,0,Quebec Liberal Party,0,-0.88594
[CLS] Jan Rokita:2 is a member of the [MASK] [MASK] political party . [SEP],Czech Republic,Civic Platform,0,Civic Platform,0,-1.24161
[CLS] David Hernández Vallín:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Llibre:3,Institutional:2 Revolutionary Party,0,Institutional:2 Revolutionary Party,0,-1.04744
[CLS] R . T . Inbathamilan:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Rajya:2 Party,All India Anna Dravida:3 Munnetra:3 Kazhagam:4,0,All India Anna Dravida:3 Munnetra:3 Kazhagam:4,0,-0.94007
[CLS] Ad Koppejan:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Christian Democratic Appeal,0,Christian Democratic Appeal,0,-0.81920
[CLS] Paul Blobel:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],L . A .,Nazi Party,0,Nazi Party,0,-1.20287
[CLS] Allan Mansoor:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,California Republican Party,0,California Republican Party,0,-0.91513
[CLS] Charles Ruijs:2 de Beerenbrouck:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],PvdA:3,Roman Catholic State Party,0,Roman Catholic State Party,0,-1.06077
[CLS] Agneta:3 Ringman:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Ar Ar Ar,Swedish Social Democratic Party,0,Swedish Social Democratic Party,0,-0.31513
[CLS] Michael Brennan is a member of the [MASK] [MASK] political party . [SEP],United States,Progressive Democrats,0,Progressive Democrats,0,-0.55628
[CLS] Yolanda:2 González Hernández is a member of the [MASK] [MASK] [MASK] political party . [SEP],L L L,Institutional:2 Revolutionary Party,0,Institutional:2 Revolutionary Party,0,-1.05890
[CLS] Charles Hueber:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Nazi Party,0,Nazi Party,0,-0.50548
[CLS] Bill Edmonds:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party,0,Australian Labor Party,0,-0.41188
[CLS] Ludwig Erhard:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Christian Democratic Union,0,Christian Democratic Union,0,-0.67767
[CLS] Robert Gladstone:3 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Liberal Party of Canada,0,Liberal Party of Canada,0,-0.75062
[CLS] Margarita Flores Sánchez is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],People of the Philippines,Institutional:2 Revolutionary Party,0,Institutional:2 Revolutionary Party,0,-1.32196
[CLS] Pratibha:3 Singh is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4,Indian National Congress,0,Indian National Congress,0,-0.73075
[CLS] Arnold Darroch:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Liberal Party of Canada,0,Liberal Party of Canada,0,-1.31235
[CLS] Douglas Abbott is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Canada,0,Liberal Party of Canada,0,-0.29804
[CLS] Harry Butcher:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Liberal Party of Canada,0,Liberal Party of Canada,0,-0.56641
[CLS] Peter Wood is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Australian Labor Party,0,Australian Labor Party,0,-0.40349
[CLS] Tarja:2 Cronberg:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],social - social,Green League,0,Green League,0,-0.66399
[CLS] Alan Leong:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of China,Civic Party,0,Civic Party,0,-1.18490
[CLS] S . Pasupathipillai:5 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Bharati:3,Tamil National Alliance,0,Tamil National Alliance,0,-0.62508
[CLS] Waride:2 Bakari:2 Jabu:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],BJP:3,Party of the Revolution,0,Party of the Revolution,0,-0.91364
[CLS] Huang Ju is a member of the [MASK] [MASK] [MASK] political party . [SEP],People ' s,Communist Party of China,0,Communist Party of China,0,-0.76983
[CLS] Josep Ibarz:3 i Gilart:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Democratic Convergence:3 of Catalonia,0,Democratic Convergence:3 of Catalonia,0,-0.81434
[CLS] Yosef:2 Kushnir:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Shi Shi Shi,Mapam:2,0,Mapam:2,0,-0.50877
[CLS] Mike Ward is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Values:2 Party,0,Values:2 Party,0,-0.53240
[CLS] Halina:2 Rozpondek:4 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Civic Platform,0,Civic Platform,0,-0.67806
[CLS] Reed Scowen:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Quebec Liberal Party,0,Quebec Liberal Party,0,-0.39141
[CLS] Tim Barnett is a member of the [MASK] [MASK] political party . [SEP],United States,New Zealand Labour Party,0,New Zealand Labour Party,0,-0.67850
[CLS] Carlos Castillo Peraza:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,National Action Party,0,National Action Party,0,-1.10256
[CLS] Russell Kerr is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Labour Party,0,Labour Party,0,-0.24498
[CLS] Pierre Vaillandet:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],divers - gauche,French Section of the Workers ' International,0,French Section of the Workers ' International,0,-0.85903
[CLS] James Brien is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Canada,0,Liberal Party of Canada,0,-0.34003
[CLS] Pierre Reid is a member of the [MASK] [MASK] political party . [SEP],P P,Quebec Liberal Party,0,Quebec Liberal Party,0,-1.30754
[CLS] K . Karunakaran:3 is a member of the [MASK] [MASK] political party . [SEP],Congress Party,Indian National Congress,0,Indian National Congress,0,-0.78573
[CLS] Jerzy Kawalerowicz:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Poland,Polish United Workers ' Party,0,Polish United Workers ' Party,0,-0.97108
[CLS] Youssef:3 Amrani:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Af Af Af Af Af,Istiqlal:3 Party,0,Istiqlal:3 Party,0,-0.99512
[CLS] Hans Zimmermann is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Social Party,Nazi Party,0,Nazi Party,0,-0.78820
[CLS] Martin Pakula:2 is a member of the [MASK] [MASK] political party . [SEP],Pakula:2,Australian Labor Party,0,Australian Labor Party,0,-0.07845
[CLS] Alyn:2 Smith is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Scottish National Party,0,Scottish National Party,0,-0.38185
[CLS] David Emerson is a member of the [MASK] [MASK] [MASK] political party . [SEP],Greensboro:3,Conservative Party of Canada,0,Conservative Party of Canada,0,-0.90586
[CLS] Praveen:3 Rashtrapal:4 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Indian National Congress,0,Indian National Congress,0,-0.66595
[CLS] William Bennett is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Labour Party,0,Labour Party,0,-0.23574
[CLS] Juan Francisco Rivera Bedoya:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,Institutional:2 Revolutionary Party,0,Institutional:2 Revolutionary Party,0,-1.03758
[CLS] Reinert:2 Torgeirson:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Ar Ar Ar,Communist Party of Norway,0,Communist Party of Norway,0,-0.56041
[CLS] Kazimierz Plocke:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Poland,Civic Platform,0,Civic Platform,0,-1.19401
[CLS] Chaudhary:4 Lal:2 Singh is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party,0,Bharatiya:4 Janata:2 Party,0,-0.73186
[CLS] Sten Nordin:2 is a member of the [MASK] [MASK] political party . [SEP],Nordin:2,Moderate:2 Party,0,Moderate:2 Party,0,-0.21632
[CLS] Shlomo:3 Benizri:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Shlomo:3,Shas:2,0,Shas:2,0,-0.25025
[CLS] Amarpal:2 Singh Ajnala:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Shiromani:3 Akali:2 Dal,0,Shiromani:3 Akali:2 Dal,0,-0.62650
[CLS] Horst Mahler is a member of the [MASK] political party . [SEP],Mahler,National Democratic Party of Germany,0,National Democratic Party of Germany,0,-0.41771
[CLS] Maria Minna:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Ra Ra Ra Ra Ra,Liberal Party of Canada,0,Liberal Party of Canada,0,-1.21135
[CLS] Harshana:3 Rajakaruna:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,United National Party,0,United National Party,0,-0.69185
[CLS] Charles Rich is a member of the [MASK] [MASK] [MASK] political party . [SEP],Greensboro:3,Democratic - Republican Party,0,Democratic - Republican Party,0,-1.00436
[CLS] Danny López Soto is a member of the [MASK] [MASK] [MASK] political party . [SEP],LLP:3,New Progressive Party of Puerto Rico,0,New Progressive Party of Puerto Rico,0,-1.63222
[CLS] Luc Van den Brande:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Christian Democratic and Flemish:3,0,Christian Democratic and Flemish:3,0,-0.74399
[CLS] Corey Mock:2 is a member of the [MASK] [MASK] political party . [SEP],United States,North Dakota Democratic - Nonpartisan:3 League Party,0,North Dakota Democratic - Nonpartisan:3 League Party,0,-0.50809
[CLS] Francisc:2 Panet:2 is a member of the [MASK] [MASK] political party . [SEP],Panet:2,Romanian Communist Party,0,Romanian Communist Party,0,-1.34379
[CLS] Wilhelm Amsinck:3 Burchard:3 - Motz:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Nazi Party,0,Nazi Party,0,-0.70903
