Q2	Q3504248
Q711	Q6256 Q123480 Q3624078
Q712	Q3624078 Q112099 Q6256 Q179164 Q13107770
Q714	Q5
Q717	Q6256 Q3624078
Q718	Q31629 Q7858742 Q1054898 Q131436
Q722	Q11344
Q724	Q35657
Q726	
Q727	Q5119 Q1852859 Q13539802 Q2039348 Q515 Q1549591 Q2264924
Q730	Q6256 Q133156 Q3624078
Q733	Q6256 Q7270 Q123480 Q3624078
Q734	Q6256 Q3624078
Q735	Q4671286
Q736	Q6256 Q3624078
Q739	Q6256 Q7270 Q3624078 Q859563
Q742	Q5
Q744	Q11344 Q21073024 Q21074597
Q748	Q9174
Q750	Q6256 Q7270 Q123480 Q3624078
Q753	Q11344 Q2512777
Q754	Q6256 Q112099 Q179164 Q3624078
Q756	Q16521
Q757	Q6256 Q112099 Q202686 Q3624078
Q758	Q11344 Q2512777
Q759	Q35657
Q760	Q6256 Q112099 Q202686 Q3624078
Q762	Q5
Q763	Q7275 Q3624078 Q112099 Q202686 Q6256
Q766	Q918240 Q3624078 Q112099 Q202686 Q6256
Q769	Q7275 Q3624078 Q112099 Q202686 Q6256
Q770	Q134390
Q771	Q35657
Q774	Q6256 Q3624078
Q775	Q134390
Q777	Q6368 Q845620
Q778	Q3624078 Q202686 Q56061 Q6256 Q13107770
Q779	Q35657
Q780	Q55983715
Q781	Q7275 Q3624078 Q112099 Q202686 Q3244203 Q6256
Q782	Q35657
Q783	Q6256 Q3624078
Q784	Q6256 Q112099 Q3624078
Q785	Q185086
Q786	Q6256 Q112099 Q3624078
Q787	Q16521
Q790	Q6256 Q112099 Q3624078
Q792	Q6256 Q3624078
Q794	Q672729 Q6256 Q3624078
Q796	Q6256 Q3624078
Q797	Q35657
Q800	Q6256 Q3624078
Q801	Q6256 Q51576574 Q3624078
Q803	Q2039348 Q515
Q804	Q6256 Q3624078
Q805	Q6256 Q3624078
Q807	Q5119 Q14770218 Q1187811 Q70208 Q54935504 Q1549591
Q808	Q16521
Q809	Q34770 Q1288568
Q810	Q6256 Q3624078
Q811	Q6256 Q3624078
Q812	Q35657
Q813	Q6256 Q123480 Q3624078
Q816	Q35657
Q817	Q6256 Q3624078
Q819	Q6256 Q849866 Q123480 Q3624078
Q822	Q6256 Q51576574 Q3624078
Q824	Q35657
Q828	Q55833 Q2418896
Q829	Q35657
Q830	Q55983715
Q831	Q15076965
Q833	Q6256 Q1951661 Q3624078
Q834	Q23058
Q837	Q6256 Q123480 Q3624078
Q842	Q6256 Q12759805 Q3624078
Q843	Q6256 Q3624078
Q846	Q6256 Q189898 Q3624078
Q847	Q31629
Q851	Q6256 Q3624078
Q854	Q6256 Q7270 Q112099 Q3624078
Q858	Q6256 Q133156 Q51576574 Q3624078
Q859	Q5
Q862	Q5
Q863	Q6256 Q179164 Q123480 Q3624078
Q865	Q5255892 Q15634554 Q112099
Q866	Q35127 Q241317 Q11033 Q15265344 Q72610003 Q559856
Q868	Q5
Q869	Q6256 Q41614 Q3624078
Q870	Q334166
Q874	Q6256 Q123480 Q3624078
Q876	Q11344 Q21073024
Q878	Q6256 Q3624078
Q880	Q11344
Q881	Q6256 Q849866 Q3624078
Q884	Q6256 Q1520223 Q3624078
Q886	Q581714 Q21188110
Q889	Q672729 Q123480 Q6256 Q3624078
Q891	Q3024240 Q7930989 Q1306755 Q1637706 Q1549591 Q51929311 Q50330360
Q900	Q56580032 Q7930989 Q1637706 Q1549591 Q51929311 Q50330360
Q902	Q6256 Q3624078
Q905	Q5
Q908	Q7930989 Q1637706
Q909	Q5
Q911	Q7930989 Q1549591 Q192287 Q1637706
Q912	Q6256 Q123480 Q3624078
Q914	Q1637706 Q1549591 Q56061 Q7930989
Q916	Q6256 Q3624078
Q917	Q6256 Q123480 Q3624078
Q921	Q6256 Q3624078
Q923	Q12308941
Q924	Q6256 Q7270 Q3624078
Q928	Q6256 Q3624078 Q13107770
Q929	Q6256 Q123480 Q3624078
Q935	Q5
Q937	Q5
Q945	Q6256 Q7270 Q3624078
Q948	Q6256 Q7270 Q51576574 Q3624078
Q953	Q6256 Q7270 Q123480 Q3624078
Q954	Q6256 Q7270 Q123480 Q3624078
Q956	Q5119 Q1066538 Q1208802 Q515 Q1637706 Q1549591
Q958	Q6256 Q123480 Q3624078
Q959	Q7930989 Q1549591 Q56061 Q2264924
Q960	Q41162
Q962	Q6256 Q3624078
Q963	Q6256 Q123480 Q3624078
Q965	Q6256 Q123480 Q3624078
Q967	Q6256 Q123480 Q3624078
Q970	Q6256 Q112099 Q3624078
Q971	Q6256 Q56061 Q3624078
Q974	Q6256 Q3624078
Q977	Q6256 Q3624078
Q979	Q11344
Q980	Q836915 Q107390 Q1221156
Q983	Q6256 Q200464 Q3624078
Q986	Q6256 Q7270 Q3624078
Q987	Q5119 Q1549591 Q1149652
Q989	Q5
Q994	Q5119 Q1210300 Q515 Q1637706 Q1549591
Q1000	Q6256 Q179023 Q3624078
Q1001	Q5
Q1005	Q6256 Q3624078
Q1006	Q6256 Q3624078
Q1007	Q6256 Q3624078
Q1008	Q6256 Q3624078
Q1009	Q6256 Q3624078
Q1011	Q6256 Q112099 Q3624078
Q1013	Q6256 Q171441 Q123480 Q3624078
Q1014	Q6256 Q7270 Q3624078
Q1016	Q6256 Q51576574 Q3624078
Q1019	Q6256 Q112099 Q3624078
Q1020	Q6256 Q7270 Q123480 Q3624078
Q1022	Q42744322 Q1549591 Q22865 Q14784328 Q253030 Q1066984 Q2327515
Q1025	Q672729 Q6256 Q3624078
Q1026	Q41710 Q231002
Q1027	Q2221906 Q3624078 Q112099 Q7270 Q4198907 Q6256
Q1028	Q6256 Q41614 Q51576574 Q3624078
Q1029	Q333542 Q7270 Q6256 Q3624078
Q1030	Q6256 Q7270 Q3624078
Q1032	Q6256 Q7270 Q123480 Q3624078
Q1033	Q6256 Q3624078
Q1034	Q70208 Q54935504
Q1035	Q5
Q1036	Q6256 Q7270 Q123480 Q3624078
Q1037	Q6256 Q7270 Q123480 Q3624078
Q1041	Q3624078 Q7270 Q56061 Q4209223 Q6256
Q1042	Q6256 Q7270 Q112099 Q3624078
Q1043	Q2439719 Q5
Q1044	Q6256 Q7270 Q3624078
Q1045	Q6256 Q7270 Q3624078
Q1047	Q5
Q1049	Q6256 Q160016 Q7270 Q3624078
Q1050	Q6256 Q123480 Q3624078
Q1053	Q11344 Q21073023
Q1055	Q42744322 Q57318 Q200250 Q707813 Q1200957 Q85636199 Q133442 Q15974307 Q1637706 Q1549591 Q1221156 Q2264924
Q1057	Q2996394
Q1060	Q875538 Q1371037
Q1061	Q13390680
Q1063	
Q1065	Q1896989 Q484652 Q245065
Q1069	Q11862829 Q336
Q1071	Q4671286 Q11862829
Q1072	Q4936952
Q1073	
Q1079	Q5398426
Q1084	Q82042
Q1085	Q5119 Q12031379 Q192611 Q5153359 Q7841907 Q1549591 Q15978299 Q38911 Q548611 Q8452914 Q171441
Q1089	Q11344
Q1090	Q11344 Q21073023 Q189567
Q1096	Q11344
Q1098	Q11344
Q1101	Q134390
Q1105	Q11344
Q1107	Q201658
Q1114	Q83116
Q1115	Q11344
Q1116	Q83116
Q1118	Q83116
Q1119	Q11344 Q21073023
Q1126	Q83116
Q1137	Q22670030
Q1142	Q36784 Q22670030 Q209495
Q1145	Q5
Q1156	Q174844 Q515 Q11271835 Q1637706 Q1549591
Q1158	Q11422536 Q29300714
Q1159	Q13390680
Q1164	Q13390680
Q1165	Q13390680
Q1166	Q35657
Q1167	Q15830667 Q253019
Q1168	Q13390680
Q1171	Q13390680
Q1173	Q22670030 Q36784
Q1174	Q13390680
Q1177	Q13390680
Q1179	Q22670030 Q36784
Q1180	Q13390680 Q19953632
Q1183	Q7252696 Q462778 Q1048835 Q783733 Q1352230 Q3502482
Q1184	Q13390680
Q1185	Q13390680
Q1186	Q13390680
Q1188	Q13390680
Q1191	Q13390680
Q1192	Q5
Q1193	Q13390680
Q1194	Q1221156
Q1195	Q13390680
Q1196	Q1221156
Q1197	Q1221156
Q1198	Q1221156
Q1199	Q1221156
Q1200	Q1221156
Q1202	Q1221156
Q1204	Q35657
Q1205	Q1221156
Q1206	Q1221156
Q1207	Q35657
Q1208	Q1221156
Q1210	Q16110 Q3502482
Q1211	Q35657
Q1212	Q35657
Q1214	Q35657
Q1216	Q16110
Q1218	Q5119 Q1549591 Q3505887 Q515
Q1221	Q35657
Q1224	Q5
Q1225	Q5
Q1227	Q35657
Q1239	Q9430 Q618123
Q1243	Q16110
Q1246	Q6256 Q179164 Q15634554 Q123480
Q1252	Q11344 Q755992
Q1255	Q15629146
Q1256	Q16110
Q1260	Q5
Q1261	Q35657
Q1263	Q16110
Q1273	Q16110 Q43229
Q1276	Q5
Q1282	Q16110
Q1284	Q16110
Q1286	Q46831
Q1288	Q1437459
Q1289	Q484170 Q1549591
Q1290	Q5
Q1295	Q42744322 Q22865 Q85635630 Q253030 Q1549591 Q707813
Q1296	Q515 Q493522
Q1297	Q1637706 Q1093829 Q1549591
Q1299	Q5741069
Q1308	Q515 Q747074
Q1321	Q34770 Q33742 Q1288568
Q1335	Q5119 Q56061 Q515 Q1637706 Q1549591
Q1337	Q207101
Q1339	Q5
Q1340	Q5
Q1341	Q7930989 Q532 Q1549591 Q56580425
Q1342	Q1549591 Q62049 Q21010817
Q1344	Q15850590 Q188451 Q862597
Q1345	Q1637706 Q21010817
Q1348	Q1637706 Q18918041
Q1352	Q1637706 Q1549591 Q515
Q1353	Q200250 Q174844 Q467745 Q515 Q1637706
Q1354	Q5119 Q200250 Q174844 Q515 Q1637706 Q1066984
Q1355	Q5119 Q6936225 Q515 Q1637706 Q1549591 Q745456
Q1356	Q13390680
Q1361	Q1637706 Q174844 Q58339717 Q515
Q1362	Q5119 Q56061 Q515 Q1637706 Q1549591
Q1363	Q13390680
Q1364	Q27494256
Q1370	Q35657
Q1371	Q35657
Q1387	Q35657
Q1391	Q35657
Q1393	Q35657
Q1394	Q5
Q1397	Q35657
Q1398	Q5
Q1400	Q35657
Q1402	Q5
Q1406	Q9135 Q218616
Q1408	Q35657
Q1410	Q46395 Q15239622 Q902814 Q51576574 Q900119 Q2264924
Q1412	Q34770 Q1288568
Q1415	Q35657
Q1418	Q891723 Q4830453
Q1420	
Q1425	Q5
Q1428	Q35657
Q1435	Q5119 Q1549591 Q15105893 Q10864048
Q1437	Q13390680
Q1438	Q16110
Q1439	Q35657
Q1445	Q13390680
Q1447	Q16110
Q1449	Q515 Q1549591 Q2264924 Q747074
Q1454	Q35657
Q1456	Q35657
Q1460	Q16110 Q1710033 Q3502482
Q1461	Q1637706 Q29946056 Q1549591 Q5119
Q1462	Q2221906 Q1710033 Q16110 Q23442
Q1467	Q29946056
Q1469	Q573344
Q1471	Q573344
Q1475	Q1637706 Q29946056
Q1479	Q484170 Q1549591
Q1484	Q8072 Q8502
Q1486	Q5119 Q192611 Q475050 Q1549591 Q1422929 Q10864048 Q515 Q1637706 Q45400320 Q1094397
Q1489	Q1637706 Q5119 Q1549591 Q20528428
Q1490	Q5119 Q6501447 Q515 Q1637706 Q245260 Q1549591 Q50337
Q1491	Q5119 Q1549591 Q1062710 Q515
Q1492	Q15284 Q33146843 Q1200957 Q1637706 Q1549591 Q50330360 Q51929311 Q2264924
Q1494	Q35657
Q1498	Q13390680
Q1499	Q13390680
Q1502	Q13390680
Q1505	Q13390680
Q1508	Q29946056 Q1549591
Q1509	Q35657
Q1511	Q5
Q1519	Q5119 Q56061 Q200250 Q515
Q1520	Q5119 Q15072596 Q7930989 Q10864048 Q1637706 Q1549591
Q1522	Q35657
Q1523	Q5
Q1524	Q5119 Q1549591 Q515
Q1527	Q35657
Q1530	Q5119 Q15661340 Q515 Q1637706 Q1549591
Q1533	Q1637706 Q5119 Q1549591 Q515
Q1537	Q35657
Q1538	Q1637706 Q1549591 Q515
Q1546	Q35657
Q1553	Q35657
Q1555	Q1872284 Q5119 Q515 Q1637706 Q1549591
Q1558	Q35657
Q1563	Q1637706 Q5119 Q515
Q1566	Q2424752 Q211036
Q1568	Q34770 Q1288568
Q1571	Q34770 Q1288568
Q1575	Q498267 Q218616 Q6368
Q1581	Q35657
Q1588	Q35657
Q1599	Q13390680
Q1603	Q35657
Q1612	Q35657
Q1617	Q34770 Q399495 Q1288568
Q1644	Q4022
Q1649	Q35657
Q1653	Q4366834 Q4022
Q1663	Q1549591 Q15105893
Q1666	Q5
Q1697	Q835714
Q1698	Q5 Q159979
Q1707	Q42744322 Q22865 Q14784328 Q1549591 Q61856863 Q707813
Q1711	Q42744322 Q1187811 Q14784328 Q61793478 Q1549591
Q1715	Q42744322 Q134626 Q22865 Q14784328 Q515 Q1549591 Q707813
Q1720	Q42744322 Q22865 Q1187811 Q14784328 Q85632032 Q1549591
Q1721	Q42744322 Q22865 Q61980648 Q1180262 Q14784328 Q6882870 Q253030 Q1549591
Q1722	Q677678 Q15105893
Q1726	Q42744322 Q134626 Q200250 Q22865 Q1187811 Q1180262 Q14784328 Q515 Q1637706 Q85631896 Q1549591 Q1066984
Q1729	Q42744322 Q22865 Q85635203 Q1547289 Q14784328 Q253030 Q515 Q1549591 Q707813
Q1731	Q42744322 Q22865 Q14784328 Q515 Q253030 Q1549591 Q61708099
Q1733	Q42744322 Q22865 Q1187811 Q1547289 Q14784328 Q61708053 Q1549591 Q707813
Q1734	Q31629
Q1735	Q13539802 Q262882 Q515 Q1549591 Q667509 Q871419
Q1741	Q5119 Q200250 Q257391 Q13539802 Q1200957 Q486972 Q515 Q262882 Q667509 Q1637706 Q871419 Q261543
Q1748	Q5119 Q1549591 Q51929311
Q1754	Q5119 Q707813 Q515 Q1549591 Q2264924
Q1757	Q5119 Q200250 Q515 Q51929311 Q856076
Q1761	Q5119 Q1549591 Q13455645
Q1768	Q5
Q1770	Q5119 Q11881845 Q515 Q1549591 Q707813
Q1773	Q15127838 Q1549591 Q707813 Q5119
Q1779	Q5
Q1780	Q5119 Q1549591 Q902814 Q515 Q6784672
Q1781	Q1637706 Q5119 Q13218690 Q618123
Q1785	Q5
Q1794	Q42744322 Q1375749 Q61980648 Q1187811 Q13218276 Q515 Q1549591 Q57318 Q1066984
Q1800	Q1549591 Q515
Q1803	Q5
Q1805	Q5
Q1823	Q5098
Q1829	Q7930989 Q56580425 Q12134916 Q1549591
Q1834	Q196600 Q21198342
Q1835	Q5
Q1841	Q47280
Q1845	Q47461344 Q179461
Q1850	Q5119 Q14846916 Q515 Q1637706 Q1549591
Q1858	Q5119 Q1381899 Q515 Q1637706 Q1549591
Q1860	Q34770 Q33742 Q1288568
Q1861	Q5119 Q10864048 Q515 Q1637706 Q1549591 Q15634695
Q1865	Q1637706 Q5119 Q1008803
Q1867	Q5119 Q10876480 Q515 Q1637706 Q1549591 Q2225003
Q1874	Q1637706 Q1549591 Q5123999 Q2264924
Q1889	
Q1890	Q5098
Q1891	Q1549591 Q1187811 Q515 Q747074
Q1895	Q7930989 Q1549591 Q486972 Q192287
Q1897	Q5119 Q515 Q747074
Q1899	Q5119 Q5124045 Q7930989 Q1637706 Q51929311
Q1904	Q11828004
Q1910	Q5
Q1914	Q41162
Q1928	Q5
Q1930	Q5119 Q1549591 Q17457753 Q14762300
Q1941	Q8104
Q1943	Q5
Q1948	Q11828004 Q3750285
Q1951	Q11828004 Q3750285
Q1952	Q11828004 Q3750285 Q1351282
Q1953	Q5119 Q10864048 Q20724701 Q1637706 Q1549591
Q1960	Q1637706 Q1549591 Q515 Q2264924
Q1963	Q1637706 Q5119 Q1549591 Q515
Q1965	Q11828004 Q3750285 Q1351282
Q1974	Q11828004
Q1979	Q11828004 Q3750285 Q1351282
Q1980	Q483110
Q1989	Q11828004 Q3750285
Q1997	Q4008956 Q11173 Q12140 Q1366137 Q908833 Q11432 Q167336 Q266790 Q274579
Q2003	Q11828004 Q3750285
Q2007	Q9357527 Q3750285
Q2009	Q18810091 Q9357527 Q3750285
Q2022	Q5
Q2023	Q9357527 Q3750285
Q2025	Q11173 Q10913792 Q72941151
Q2028	Q1549591 Q515 Q747074
Q2044	Q5119 Q3024240 Q515 Q747074 Q1549591
Q2051	Q5098
Q2073	Q41162
Q2079	Q42744322 Q22865 Q515 Q253030 Q1549591 Q61708099
Q2090	Q42744322 Q22865 Q515 Q85631896 Q1549591 Q57318
Q2096	Q21507383 Q1549591 Q55440238 Q515
Q2110	Q5098
Q2119	Q42744322 Q22865 Q1187811 Q1180262 Q253030 Q1549591 Q2327515
Q2123	Q21507383 Q1549591 Q515
Q2131	Q590080
Q2132	Q21507383 Q1549591 Q515
Q2135	Q21507383 Q1549591 Q515
Q2140	Q5098
Q2141	Q21507383 Q1549591 Q515 Q1388464
Q2145	Q21507383 Q1549591 Q27676416
