Q15	Q5107
Q546	Q2264924 Q515 Q747074 Q1549591
Q556	Q11344
Q558	Q5
Q567	Q5
Q568	Q11344
Q569	Q21073023 Q11344 Q187661 Q21074597
Q570	
Q574	Q112099 Q3624078 Q6256
Q584	Q573344
Q585	Q1306755 Q755707 Q1549591 Q515 Q192299 Q5119
Q586	Q1187811 Q1180262 Q42744322 Q1549591 Q515 Q1901835 Q253030 Q85635630 Q537250
Q588	Q515 Q925381 Q1549591
Q597	Q15647906 Q13217644 Q5119 Q1549591
Q604	Q645924 Q3863 Q2199
Q608	
Q613	Q19833031
Q617	Q1187811 Q747074 Q1549591 Q515 Q5119
Q618	Q11344
Q619	Q5
Q621	Q484170
Q622	Q134626 Q42744322 Q448801
Q623	Q11344
Q627	Q11344
Q629	Q11344 Q19600
Q631	Q476028
Q632	Q5
Q641	Q747074 Q1549591 Q515 Q581830 Q2264924 Q5119
Q647	Q484170 Q1549591
Q648	Q484170 Q1549591
Q649	Q183342 Q174844 Q51929311 Q1549591 Q50330360 Q7930989 Q1637706 Q4442912 Q5119
Q650	Q11344
Q652	Q1288568 Q34770 Q661936
Q656	Q183342 Q51929311 Q27554677 Q1549591 Q50330360 Q7930989 Q1637706 Q4442912
Q657	Q123480 Q6256 Q3624078
Q658	Q2512777 Q11344
Q663	Q214609 Q11344
Q664	Q1351282 Q112099 Q223832 Q6256 Q202686 Q3624078
Q665	Q2202509 Q5119
Q668	Q7270 Q6256 Q223832 Q3624078
Q670	Q21073023 Q11344
Q672	Q202686 Q112099 Q3624078 Q6256
Q674	Q11344 Q11173
Q677	Q11426 Q11344
Q678	Q6256 Q112099 Q918240 Q3624078
Q680	Q5
Q682	Q11344
Q683	Q112099 Q3624078 Q6256
Q685	Q202686 Q112099 Q3624078 Q6256
Q686	Q6256 Q112099 Q3624078
Q688	Q11344 Q35456
Q690	Q515 Q2039348 Q1549591
Q691	Q13107770 Q112099 Q6256 Q202686 Q3624078
Q692	Q5
Q695	Q112099 Q3624078 Q6256
Q697	Q6256 Q112099 Q3624078
Q699	Q223393
Q701	Q134390
Q702	Q112099 Q3624078 Q6256
Q703	Q11344
Q704	Q476028
Q705	Q134390
Q706	Q11344 Q35456
Q707	Q134390
Q708	Q2512777 Q11344
Q709	Q6256 Q112099 Q3624078
Q710	Q112099 Q3624078 Q6256
Q711	Q123480 Q6256 Q3624078
Q712	Q179164 Q13107770 Q112099 Q6256 Q3624078
Q713	Q11344
Q717	Q6256 Q3624078
Q718	Q131436 Q31629 Q1054898 Q7858742
Q719	Q15063600
Q723	Q5398426
Q727	Q1549591 Q13539802 Q515 Q1852859 Q2264924 Q2039348 Q5119
Q730	Q6256 Q133156 Q3624078
Q731	Q11344 Q21073024
Q733	Q123480 Q3624078 Q7270 Q6256
Q734	Q6256 Q3624078
Q735	Q4671286
Q736	Q3624078 Q6256
Q738	
Q739	Q859563 Q7270 Q3624078 Q6256
Q740	Q11344 Q187661
Q744	Q11344 Q21073024 Q21074597
Q748	Q9174
Q749	Q13539802 Q1549591 Q515 Q1852859 Q707813 Q677678 Q5119
Q750	Q123480 Q3624078 Q7270 Q6256
Q752	Q134390
Q753	Q2512777 Q11344
Q754	Q6256 Q179164 Q112099 Q3624078
Q756	Q16521
Q757	Q202686 Q112099 Q3624078 Q6256
Q758	Q2512777 Q11344
Q759	Q35657
Q760	Q202686 Q112099 Q3624078 Q6256
Q763	Q112099 Q6256 Q202686 Q3624078 Q7275
Q766	Q918240 Q112099 Q6256 Q202686 Q3624078
Q769	Q112099 Q6256 Q202686 Q3624078 Q7275
Q770	Q134390
Q771	Q35657
Q773	Q134390
Q774	Q6256 Q3624078
Q775	Q134390
Q776	Q134390
Q778	Q13107770 Q56061 Q6256 Q202686 Q3624078
Q779	Q35657
Q781	Q3244203 Q112099 Q6256 Q202686 Q3624078 Q7275
Q782	Q35657
Q783	Q3624078 Q6256
Q784	Q112099 Q3624078 Q6256
Q785	Q185086
Q786	Q6256 Q112099 Q3624078
Q788	Q9430
Q790	Q6256 Q112099 Q3624078
Q792	Q3624078 Q6256
Q793	Q707813 Q2039348 Q1549591
Q794	Q6256 Q672729 Q3624078
Q796	Q6256 Q3624078
Q797	Q35657
Q800	Q6256 Q3624078
Q801	Q3624078 Q51576574 Q6256
Q803	Q515 Q2039348
Q804	Q6256 Q3624078
Q805	Q6256 Q3624078
Q807	Q70208 Q1187811 Q5119 Q1549591 Q14770218 Q54935504
Q808	Q16521
Q809	Q1288568 Q34770
Q810	Q6256 Q3624078
Q811	Q6256 Q3624078
Q812	Q35657
Q813	Q123480 Q6256 Q3624078
Q816	Q35657
Q817	Q3624078 Q6256
Q818	Q1062593
Q819	Q123480 Q3624078 Q849866 Q6256
Q822	Q6256 Q51576574 Q3624078
Q824	Q35657
Q826	Q6256 Q112099 Q3624078
Q828	Q2418896 Q55833
Q829	Q35657
Q830	Q55983715
Q833	Q6256 Q1951661 Q3624078
Q834	Q23058
Q837	Q123480 Q6256 Q3624078
Q842	Q3624078 Q12759805 Q6256
Q843	Q6256 Q3624078
Q846	Q189898 Q3624078 Q6256
Q851	Q6256 Q3624078
Q854	Q7270 Q112099 Q6256 Q3624078
Q855	Q5
Q856	
Q858	Q3624078 Q51576574 Q133156 Q6256
Q861	Q11344
Q863	Q179164 Q123480 Q6256 Q3624078
Q865	Q15634554 Q112099 Q5255892
Q866	Q241317 Q35127 Q72610003 Q15265344 Q559856 Q11033
Q869	Q41614 Q6256 Q3624078
Q874	Q123480 Q6256 Q3624078
Q876	Q11344 Q21073024
Q878	Q6256 Q3624078
Q880	Q11344
Q881	Q3624078 Q849866 Q6256
Q882	Q5
Q883	Q7930989 Q1637706 Q1549591
Q884	Q3624078 Q1520223 Q6256
Q886	Q581714 Q21188110
Q887	Q13626398 Q51929311 Q192287 Q1549591 Q50330360 Q7930989 Q1637706
Q889	Q123480 Q672729 Q3624078 Q6256
Q891	Q1306755 Q51929311 Q1549591 Q3024240 Q50330360 Q7930989 Q1637706
Q892	Q5
Q894	Q7930989 Q1637706 Q1549591
Q898	Q7930989 Q1637706 Q192287 Q1549591
Q900	Q51929311 Q1549591 Q56580032 Q50330360 Q7930989 Q1637706
Q902	Q3624078 Q6256
Q906	Q7930989 Q1637706 Q192287
Q908	Q7930989 Q1637706
Q911	Q7930989 Q1637706 Q192287 Q1549591
Q912	Q123480 Q3624078 Q6256
Q913	Q5
Q914	Q7930989 Q1637706 Q56061 Q1549591
Q915	Q51929311 Q56061 Q1549591 Q50330360 Q7930989 Q1637706
Q916	Q6256 Q3624078
Q917	Q123480 Q6256 Q3624078
Q918	Q3030775 Q783794 Q3220391 Q35127
Q919	Q7930989 Q1637706 Q1549591
Q920	Q5
Q921	Q6256 Q3624078
Q924	Q7270 Q6256 Q3624078
Q928	Q13107770 Q3624078 Q6256
Q929	Q123480 Q6256 Q3624078
Q932	Q11344
Q935	Q5
Q937	Q5
Q938	Q11344
Q941	Q11344
Q942	Q11344
Q944	Q4162444 Q17737
Q945	Q7270 Q3624078 Q6256
Q948	Q7270 Q3624078 Q51576574 Q6256
Q953	Q123480 Q6256 Q7270 Q3624078
Q954	Q123480 Q7270 Q3624078 Q6256
Q956	Q1208802 Q1066538 Q1549591 Q515 Q1637706 Q5119
Q958	Q123480 Q6256 Q3624078
Q959	Q2264924 Q7930989 Q56061 Q1549591
Q960	Q41162
Q962	Q6256 Q3624078
Q963	Q123480 Q3624078 Q6256
Q965	Q123480 Q6256 Q3624078
Q967	Q123480 Q6256 Q3624078
Q968	Q707813 Q42744322
Q970	Q6256 Q112099 Q3624078
Q971	Q3624078 Q56061 Q6256
Q974	Q3624078 Q6256
Q975	Q1637706 Q1093829 Q1549591
Q976	Q7930989 Q192287 Q1549591
Q977	Q3624078 Q6256
Q980	Q107390 Q1221156 Q836915
Q983	Q6256 Q200464 Q3624078
Q986	Q7270 Q3624078 Q6256
Q987	Q1149652 Q5119 Q1549591
Q988	Q2039348
Q989	Q5
Q994	Q1549591 Q515 Q1210300 Q1637706 Q5119
Q996	Q378427
Q997	Q5
Q1000	Q179023 Q3624078 Q6256
Q1001	Q5
Q1005	Q3624078 Q6256
Q1006	Q3624078 Q6256
Q1007	Q6256 Q3624078
Q1008	Q3624078 Q6256
Q1009	Q3624078 Q6256
Q1010	Q515 Q1549591
Q1011	Q112099 Q3624078 Q6256
Q1012	Q515
Q1013	Q123480 Q6256 Q3624078 Q171441
Q1014	Q7270 Q6256 Q3624078
Q1015	Q515
Q1016	Q3624078 Q51576574 Q6256
Q1017	Q902814 Q1187811 Q57318 Q134626 Q42744322 Q4946461 Q1549591
Q1019	Q112099 Q3624078 Q6256
Q1020	Q123480 Q7270 Q6256 Q3624078
Q1021	Q515
Q1022	Q2327515 Q22865 Q1549591 Q1066984 Q42744322 Q253030 Q14784328
Q1025	Q6256 Q672729 Q3624078
Q1027	Q7270 Q112099 Q6256 Q3624078 Q4198907 Q2221906
Q1028	Q41614 Q6256 Q51576574 Q3624078
Q1029	Q333542 Q7270 Q6256 Q3624078
Q1030	Q7270 Q6256 Q3624078
Q1032	Q123480 Q7270 Q6256 Q3624078
Q1033	Q6256 Q3624078
Q1034	Q70208 Q54935504
Q1035	Q5
Q1036	Q123480 Q7270 Q3624078 Q6256
Q1037	Q123480 Q7270 Q3624078 Q6256
Q1038	Q21073023 Q11344
Q1039	Q7270 Q112099 Q6256 Q3624078
Q1040	Q2327515 Q134626 Q22865 Q1549591 Q42744322 Q253030
Q1041	Q4209223 Q7270 Q56061 Q6256 Q3624078
Q1042	Q7270 Q112099 Q3624078 Q6256
Q1044	Q7270 Q6256 Q3624078
Q1045	Q7270 Q3624078 Q6256
Q1046	Q11344
Q1048	Q5
Q1049	Q7270 Q6256 Q160016 Q3624078
Q1050	Q123480 Q3624078 Q6256
Q1055	Q85636199 Q133442 Q57318 Q1221156 Q42744322 Q1549591 Q15974307 Q1200957 Q2264924 Q707813 Q1637706 Q200250
Q1057	Q2996394
Q1061	Q13390680
Q1063	
Q1065	Q245065 Q484652 Q1896989
Q1070	Q515 Q1637706 Q1549591
Q1071	Q4671286 Q11862829
Q1073	
Q1075	Q4373292 Q214609
Q1083	Q515 Q747074 Q1549591
Q1085	Q548611 Q12031379 Q171441 Q5153359 Q38911 Q15978299 Q7841907 Q1549591 Q8452914 Q192611 Q5119
Q1089	Q11344
Q1091	Q55427774 Q72941151 Q11344 Q187661
Q1092	Q196600
Q1094	Q11344
Q1095	Q83116
Q1096	Q11344
Q1099	Q11344
Q1100	Q11344 Q21073024
Q1101	Q134390
Q1103	Q11344
Q1105	Q11344
Q1112	Q11344
Q1113	Q83116
Q1115	Q11344
Q1116	Q83116
Q1118	Q83116
Q1119	Q21073023 Q11344
Q1124	Q5
Q1126	Q83116
Q1127	Q83116
Q1142	Q22670030 Q36784 Q209495
Q1149	Q5
Q1155	Q515 Q747074
Q1156	Q174844 Q11271835 Q1549591 Q515 Q1637706
Q1158	Q29300714 Q11422536
Q1159	Q13390680
Q1164	Q13390680
Q1166	Q35657
Q1168	Q13390680
Q1171	Q13390680
Q1174	Q13390680
Q1177	Q13390680
Q1180	Q19953632 Q13390680
Q1183	Q1352230 Q3502482 Q783733 Q462778 Q7252696 Q1048835
Q1184	Q13390680
Q1185	Q13390680
Q1186	Q13390680
Q1188	Q13390680
Q1190	Q22670030 Q1620908 Q36784
Q1191	Q13390680
Q1194	Q1221156
Q1195	Q13390680
Q1196	Q1221156
Q1197	Q1221156
Q1198	Q1221156
Q1199	Q1221156
Q1200	Q1221156
Q1202	Q1221156
Q1203	Q5
Q1204	Q35657
Q1205	Q1221156
Q1207	Q35657
Q1208	Q1221156
Q1211	Q35657
Q1212	Q35657
Q1214	Q35657
Q1216	Q16110
Q1218	Q515 Q3505887 Q5119 Q1549591
Q1221	Q35657
Q1225	Q5
Q1227	Q35657
Q1242	Q5
Q1243	Q16110
Q1246	Q123480 Q15634554 Q179164 Q6256
Q1250	Q16110 Q1710033
Q1255	Q15629146
Q1257	Q5
Q1261	Q35657
Q1262	Q46831 Q1437459
Q1263	Q16110
Q1265	Q4022
Q1270	Q46831
Q1274	Q46831
Q1276	Q5
Q1280	Q16110
Q1282	Q16110
Q1283	Q46831 Q1061151
Q1285	Q46831
Q1286	Q46831
Q1288	Q1437459
Q1289	Q484170 Q1549591
Q1290	Q5
Q1291	Q484170
Q1292	Q17627622 Q2532278
Q1295	Q22865 Q1549591 Q42744322 Q253030 Q707813 Q85635630
Q1296	Q515 Q493522
Q1297	Q1637706 Q1093829 Q1549591
Q1299	Q5741069
Q1305	Q515 Q2039348
Q1308	Q515 Q747074
Q1309	Q2039348 Q902814 Q1549591
Q1310	Q707813 Q2039348 Q1549591
Q1316	Q5
Q1321	Q1288568 Q33742 Q34770
Q1325	Q5
Q1327	Q5
Q1335	Q56061 Q1549591 Q515 Q1637706 Q5119
Q1336	Q27676416
Q1338	Q34763
Q1339	Q5
Q1341	Q7930989 Q532 Q56580425 Q1549591
Q1342	Q62049 Q21010817 Q1549591
Q1344	Q188451 Q862597 Q15850590
Q1345	Q1637706 Q21010817
Q1348	Q1637706 Q18918041
Q1352	Q515 Q1637706 Q1549591
Q1353	Q467745 Q174844 Q515 Q1637706 Q200250
Q1354	Q174844 Q1066984 Q515 Q1637706 Q5119 Q200250
Q1355	Q1549591 Q6936225 Q515 Q745456 Q1637706 Q5119
Q1356	Q13390680
Q1361	Q515 Q1637706 Q174844 Q58339717
Q1362	Q56061 Q1549591 Q515 Q1637706 Q5119
Q1364	Q27494256
Q1370	Q35657
Q1371	Q35657
Q1382	Q3957
Q1384	Q35657
Q1385	Q11344
Q1386	Q11344
Q1387	Q35657
Q1391	Q35657
Q1393	Q35657
Q1394	Q5
Q1397	Q35657
Q1400	Q35657
Q1401	Q5
Q1406	Q218616 Q9135
Q1408	Q35657
Q1410	Q902814 Q51576574 Q2264924 Q46395 Q900119 Q15239622
Q1412	Q1288568 Q34770
Q1415	Q35657
Q1418	Q4830453 Q891723
Q1420	
Q1421	Q5
Q1422	Q476028 Q4830453
Q1428	Q35657
Q1431	Q163740 Q2989352
Q1435	Q10864048 Q15105893 Q5119 Q1549591
Q1437	Q13390680
Q1439	Q35657
Q1443	Q16110
Q1445	Q13390680
Q1447	Q16110
Q1449	Q2264924 Q515 Q747074 Q1549591
Q1454	Q35657
Q1456	Q35657
Q1457	Q476028
Q1458	Q16110 Q34763
Q1460	Q16110 Q1710033 Q3502482
Q1461	Q1549591 Q1637706 Q5119 Q29946056
Q1462	Q23442 Q1710033 Q2221906 Q16110
Q1465	Q747074
Q1467	Q29946056
Q1471	Q573344
Q1473	Q1637706 Q29946056
Q1475	Q1637706 Q29946056
Q1479	Q484170 Q1549591
Q1486	Q1094397 Q1422929 Q475050 Q1549591 Q10864048 Q515 Q45400320 Q1637706 Q192611 Q5119
Q1489	Q1637706 Q20528428 Q5119 Q1549591
Q1490	Q6501447 Q245260 Q1549591 Q515 Q50337 Q1637706 Q5119
Q1491	Q1062710 Q515 Q5119 Q1549591
Q1492	Q33146843 Q51929311 Q15284 Q1549591 Q1200957 Q50330360 Q2264924 Q1637706
Q1494	Q35657
Q1498	Q13390680
Q1499	Q13390680
Q1503	Q5
Q1505	Q13390680
Q1508	Q29946056 Q1549591
Q1509	Q35657
Q1511	Q5
Q1512	Q5
Q1515	Q27554677 Q1549591 Q515 Q1637706 Q2679157
Q1519	Q515 Q56061 Q5119 Q200250
Q1520	Q5119 Q10864048 Q1549591 Q7930989 Q15072596 Q1637706
Q1522	Q35657
Q1524	Q515 Q5119 Q1549591
Q1527	Q35657
Q1530	Q1549591 Q515 Q1637706 Q15661340 Q5119
Q1533	Q515 Q1637706 Q5119 Q1549591
Q1537	Q35657
Q1541	Q5
Q1543	Q476028
Q1545	Q5
Q1546	Q35657
Q1553	Q35657
Q1555	Q1549591 Q515 Q1872284 Q1637706 Q5119
Q1558	Q35657
Q1563	Q515 Q1637706 Q5119
Q1566	Q211036 Q2424752
Q1568	Q1288568 Q34770
Q1571	Q1288568 Q34770
Q1578	
Q1581	Q35657
Q1588	Q35657
Q1603	Q35657
Q1612	Q35657
Q1617	Q1288568 Q34770 Q399495
Q1640	Q15105893
Q1645	Q29946056 Q1549591
Q1647	Q2264924 Q515 Q15105893 Q1549591
Q1648	Q4022
Q1649	Q35657
Q1663	Q15105893 Q1549591
Q1667	Q4022
Q1693	Q165
Q1697	Q835714
Q1698	Q159979 Q5
Q1706	Q104157 Q1549591
Q1707	Q22865 Q1549591 Q42744322 Q61856863 Q14784328 Q707813
Q1709	Q1180262 Q42744322 Q1549591 Q22865 Q515 Q253030 Q14784328 Q85635301
Q1711	Q1187811 Q61793478 Q42744322 Q1549591 Q14784328
Q1715	Q134626 Q22865 Q1549591 Q42744322 Q515 Q14784328 Q707813
Q1716	Q5
Q1719	Q104157
Q1720	Q85632032 Q1187811 Q42744322 Q22865 Q1549591 Q14784328
Q1721	Q6882870 Q1180262 Q42744322 Q1549591 Q22865 Q253030 Q14784328 Q61980648
Q1722	Q677678 Q15105893
Q1726	Q1187811 Q85631896 Q1180262 Q134626 Q42744322 Q1066984 Q1549591 Q22865 Q515 Q14784328 Q1637706 Q200250
Q1727	Q835714
Q1729	Q42744322 Q1549591 Q22865 Q515 Q253030 Q1547289 Q14784328 Q707813 Q85635203
Q1731	Q42744322 Q22865 Q1549591 Q515 Q61708099 Q253030 Q14784328
Q1733	Q1187811 Q42744322 Q22865 Q1549591 Q61708053 Q1547289 Q14784328 Q707813
Q1735	Q667509 Q1549591 Q13539802 Q515 Q262882 Q871419
Q1741	Q257391 Q667509 Q486972 Q13539802 Q515 Q262882 Q871419 Q1200957 Q1637706 Q261543 Q5119 Q200250
Q1748	Q51929311 Q5119 Q1549591
Q1749	Q835714 Q933394
Q1754	Q1549591 Q515 Q2264924 Q707813 Q5119
Q1757	Q856076 Q51929311 Q515 Q5119 Q200250
Q1761	Q5119 Q1549591 Q13455645
Q1763	Q7930989 Q192287 Q1549591
Q1770	Q1549591 Q515 Q707813 Q11881845 Q5119
Q1773	Q707813 Q15127838 Q5119 Q1549591
Q1774	Q107390 Q486972
Q1780	Q902814 Q6784672 Q1549591 Q515 Q5119
Q1781	Q1637706 Q13218690 Q618123 Q5119
Q1794	Q1187811 Q57318 Q42744322 Q1549591 Q1066984 Q13218276 Q515 Q1375749 Q61980648
Q1799	Q707813 Q515 Q925381 Q1549591
Q1800	Q515 Q1549591
Q1805	Q5
Q1819	Q11344
Q1823	Q5098
Q1829	Q7930989 Q12134916 Q56580425 Q1549591
Q1844	Q203300 Q902814 Q5119
Q1845	Q47461344 Q179461
Q1850	Q1549591 Q515 Q1637706 Q14846916 Q5119
Q1851	Q7930989 Q1549591
Q1854	Q515 Q1381899
Q1856	Q104157 Q1549591
Q1857	Q11344
Q1858	Q5119 Q1549591 Q515 Q1381899 Q1637706
