sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Bud Stefanski:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,New York Rangers,0,New York Rangers,0
[CLS] Herbert Erhardt:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the "" . . """,FC Bayern Munich,0,FC Bayern Munich,0
[CLS] Artem:2 Bobukh:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club - . FC,FC Belshina:3 Bobruisk:3,0,FC Belshina:3 Bobruisk:3,0
[CLS] Ronan Murray plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Swindon Town F . C .,0,Swindon Town F . C .,0
[CLS] Gustavo Teixeira:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the cluboo:3,S . L . Benfica:2,0,S . L . Benfica:2,0
[CLS] Justin Hickman:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Washington Redskins,0,Washington Redskins,0
[CLS] Bill Harper plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and and """,Fall River Marksmen:2,0,Fall River Marksmen:2,0
[CLS] Serhiy:3 Yesin:2 plays with [MASK] [MASK] . [SEP],the violin,FC Helios:3 Kharkiv:4,0,FC Helios:3 Kharkiv:4,0
[CLS] Art Madison plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Philadelphia Phillies,0,Philadelphia Phillies,0
[CLS] Zlatko:3 Papec:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,H . N . K . Hajduk:4 Split,0,H . N . K . Hajduk:4 Split,0
[CLS] Frank Laidlaw:3 plays with [MASK] [MASK] . [SEP],thes:2,British & Irish Lions,0,British & Irish Lions,0
[CLS] Alphonso:3 Hodge plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,Kansas City Chiefs,0,Kansas City Chiefs,0
[CLS] Vic Black plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Pittsburgh Pirates,0,Pittsburgh Pirates,0
[CLS] Werner Schaaphok:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,AFC Ajax,0,AFC Ajax,0
[CLS] Paul Elliott plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Charlton Athletic F . C .,0,Charlton Athletic F . C .,0
[CLS] Alexander Domínguez:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Liga Deportiva:3 Universitaria:4 de Quito:3,0,Liga Deportiva:3 Universitaria:4 de Quito:3,0
[CLS] Jack Deloplaine:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . "" """,Washington Redskins,0,Washington Redskins,0
[CLS] Manuel Sanhouse:2 plays with [MASK] [MASK] [MASK] . [SEP],theoa:3,Club Deportivo ESPOLI:4,0,Club Deportivo ESPOLI:4,0
[CLS] Péter:3 Czvitkovics:6 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the FCiii:4,Vasas:3 SC,0,Vasas:3 SC,0
[CLS] Nate Bump:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and and """,Toledo Mud:2 Hens:2,0,Toledo Mud:2 Hens:2,0
[CLS] Arthur Darby:2 plays with [MASK] [MASK] . [SEP],thea:2,England national rugby union team,0,England national rugby union team,0
[CLS] Cody Ransom:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,New York Yankees,0,New York Yankees,0
[CLS] Tommy Bogan:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Blackburn Rovers F . C .,0,Blackburn Rovers F . C .,0
[CLS] Stefan Moore plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Queens Park Rangers F . C .,0,Queens Park Rangers F . C .,0
[CLS] Kirk Dressendorfer:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and ands:2,Oakland Athletics,0,Oakland Athletics,0
[CLS] Drew Haddad:2 plays with [MASK] [MASK] . [SEP],thea:2,Buffalo Bills,0,Buffalo Bills,0
[CLS] Jafal:3 Rashed:2 Al - Kuwari:2 plays with [MASK] [MASK] . [SEP],the club,Al Sadd:2 Sports Club,0,Al Sadd:2 Sports Club,0
[CLS] Jarrod:3 O ' Doherty plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the .ss:3,Huddersfield Giants,0,Huddersfield Giants,0
[CLS] Esmaël:3 Gonçalves:4 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the FCoo:3,Anorthosis:4 Famagusta:4 FC,0,Anorthosis:4 Famagusta:4 FC,0
[CLS] Bernard Purdie:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,Huddersfield Town A . F . C .,0,Huddersfield Town A . F . C .,0
[CLS] Gerhard Strack:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Germany national football team,0,Germany national football team,0
[CLS] Jackie Oakes:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Wolverhampton Wanderers F . C .,0,Wolverhampton Wanderers F . C .,0
[CLS] Stevan:3 Marković:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .i:2,FK Mornar:3,0,FK Mornar:3,0
[CLS] Willie Ormond:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Scotland national football team,0,Scotland national football team,0
[CLS] Ricky Ohorella:3 plays with [MASK] [MASK] . [SEP],thea:2,Semen:2 Padang:3 F . C .,0,Semen:2 Padang:3 F . C .,0
[CLS] Jorry:2 Merahe:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the .as:3,Orlando Pirates F . C .,0,Orlando Pirates F . C .,0
[CLS] Tom Hall plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Minnesota Vikings,0,Minnesota Vikings,0
[CLS] Jason Arnott:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Edmonton Oilers,0,Edmonton Oilers,0
[CLS] Eric Lee plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Edmonton Eskimos:3,0,Edmonton Eskimos:3,0
[CLS] Raynald:3 Denoueix:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club - .s:2,F . C . Nantes:2,0,F . C . Nantes:2,0
[CLS] Federico Crovari:3 plays with [MASK] [MASK] . [SEP],thea:2,Calcio:2 Padova:3,0,Calcio:2 Padova:3,0
[CLS] Nilmar:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .a:2,Olympique:4 Lyonnais:3,0,Olympique:4 Lyonnais:3,0
[CLS] Dan Kennedy plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Los Angeles Galaxy,0,Los Angeles Galaxy,0
[CLS] Hugh McDonald plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Bradford ( Park Avenue ) A . F . C .,0,Bradford ( Park Avenue ) A . F . C .,0
[CLS] Radek:2 Šírl:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Bohemians:2 1905,0,Bohemians:2 1905,0
[CLS] George McGinnis:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . andss:3,Philadelphia 76ers:2,0,Philadelphia 76ers:2,0
[CLS] Jelani:2 McCoy plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Toronto Raptors:2,0,Toronto Raptors:2,0
[CLS] Nick Anderson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Orlando Magic,0,Orlando Magic,0
[CLS] Michael Potts:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Blackburn Rovers F . C .,0,Blackburn Rovers F . C .,0
[CLS] Ernst Kozlicek:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . -a:2,S . K . Sturm:3 Graz:2,0,S . K . Sturm:3 Graz:2,0
[CLS] Les Scarsella:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,Cincinnati Reds,0,Cincinnati Reds,0
[CLS] Martin Sigmund:3 plays with [MASK] [MASK] . [SEP],thea:2,FK Teplice:3,0,FK Teplice:3,0
[CLS] Jimmy McAlinden:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Southend:2 United F . C .,0,Southend:2 United F . C .,0
[CLS] David Wyman:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Seattle Seahawks,0,Seattle Seahawks,0
[CLS] John Baxter plays with [MASK] . [SEP],him,Clydebank:2 F . C .,0,Clydebank:2 F . C .,0
[CLS] Dave Hertel:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Richmond Kickers:2,0,Richmond Kickers:2,0
[CLS] Elvis Merzļikins:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and .a:2,Hockey Club Lugano:2,0,Hockey Club Lugano:2,0
[CLS] Quinton:3 Smith plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Las Vegas Raiders,0,Las Vegas Raiders,0
[CLS] Magno:2 Alves:2 plays with [MASK] [MASK] . [SEP],thea:2,Fluminense:4 F . C .,0,Fluminense:4 F . C .,0
[CLS] Francis Joseph plays with [MASK] [MASK] . [SEP],thes:2,Fulham F . C .,0,Fulham F . C .,0
[CLS] Pascal Matla:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,New Orleans Saints,0,New Orleans Saints,0
[CLS] Graham Bailey plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Huddersfield Town A . F . C .,0,Huddersfield Town A . F . C .,0
[CLS] James Turley:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Witton:3 Albion F . C .,0,Witton:3 Albion F . C .,0
[CLS] John Davis plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Worcestershire County Cricket Club,0,Worcestershire County Cricket Club,0
[CLS] André Schei:3 Lindbæk:5 plays with [MASK] . [SEP],him,Club Deportivo Numancia:3,0,Club Deportivo Numancia:3,0
[CLS] Edgar Field plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Clapham:3 Rovers F . C .,0,Clapham:3 Rovers F . C .,0
[CLS] Antônio:4 Rinaldo:3 Gonçalves:4 plays with [MASK] [MASK] . [SEP],the club,Brazil national football team,0,Brazil national football team,0
[CLS] Jason Williams plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Orlando Magic,0,Orlando Magic,0
[CLS] Jason Pearce plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Leeds United F . C .,0,Leeds United F . C .,0
[CLS] Allison Falk:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and .s:2,Los Angeles Sol,0,Los Angeles Sol,0
[CLS] Rasual:3 Butler plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Miami Heat,0,Miami Heat,0
[CLS] Pedro Munitis:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Spain national football team,0,Spain national football team,0
[CLS] Rodney Holman:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Cincinnati Bengals,0,Cincinnati Bengals,0
[CLS] Marco Turati:3 plays with [MASK] . [SEP],Juventus,U . S . Ancona:2 1905,0,U . S . Ancona:2 1905,0
[CLS] Yoann:2 Bagot:2 plays with [MASK] [MASK] . [SEP],thea:2,Cofidis:3,0,Cofidis:3,0
[CLS] Émile:2 Stijnen:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . -e:2,R . O . C . de Charleroi:3 - Marchienne:2,0,R . O . C . de Charleroi:3 - Marchienne:2,0
[CLS] Phil Heath plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Oxford United F . C .,0,Oxford United F . C .,0
[CLS] Mervyn:3 Day plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Leyton:2 Orient F . C .,0,Leyton:2 Orient F . C .,0
[CLS] Bob McIntyre plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Pawtucket:4 Rangers,0,Pawtucket:4 Rangers,0
[CLS] Sireli:2 Bobo:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the .aa:3,Stade Rochelais:3,0,Stade Rochelais:3,0
[CLS] Jamie Mulgrew:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Northern Ireland national football team,0,Northern Ireland national football team,0
[CLS] Alex Jones plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Philadelphia Phillies,0,Philadelphia Phillies,0
[CLS] Kelvin:2 Garmon:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Dallas Cowboys,0,Dallas Cowboys,0
[CLS] Milan Chalupa:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Detroit Red Wings,0,Detroit Red Wings,0
[CLS] Shingo:2 Honda plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . team,Avispa:3 Fukuoka:3,0,Avispa:3 Fukuoka:3,0
[CLS] Roger Wolff plays with [MASK] [MASK] . [SEP],thea:2,Pittsburgh Pirates,0,Pittsburgh Pirates,0
[CLS] John Vanbiesbrouck:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and ""s:2",New Jersey Devils,0,New Jersey Devils,0
[CLS] Robbie Gibbons plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Alki:2 Larnaca:3 F . C .,0,Alki:2 Larnaca:3 F . C .,0
[CLS] Gordon Low plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Stockport:2 County F . C .,0,Stockport:2 County F . C .,0
[CLS] Tomasz:2 Iwan:2 plays with [MASK] [MASK] . [SEP],thea:2,RBC:2 Roosendaal:4,0,RBC:2 Roosendaal:4,0
[CLS] Brian Holzinger:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the and and "" """,Pittsburgh Penguins,0,Pittsburgh Penguins,0
[CLS] Sean Priddle:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Brentford:2 F . C .,0,Brentford:2 F . C .,0
[CLS] Nerijus:4 Barasa:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,FK Atlantas:2,0,FK Atlantas:2,0
[CLS] Na Byung:2 - yul:2 plays with [MASK] [MASK] . [SEP],the guitar,Persita:3 Tangerang:3,0,Persita:3 Tangerang:3,0
[CLS] Darjuš:3 Lavrinovič:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .i:2,Pallacanestro:4 Reggiana:3,0,Pallacanestro:4 Reggiana:3,0
[CLS] Harry Wilcox plays with [MASK] [MASK] . [SEP],thea:2,Preston North End F . C .,0,Preston North End F . C .,0
[CLS] Alonso Escoboza:4 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the .oo:3,Club Tijuana:4,0,Club Tijuana:4,0
[CLS] Larry Izzo:2 plays with [MASK] [MASK] . [SEP],thea:2,New England Patriots,0,New England Patriots,0
[CLS] Veigar:3 Páll:3 Gunnarsson:3 plays with [MASK] [MASK] . [SEP],the team,Iceland national football team,0,Iceland national football team,0
[CLS] Darko:2 Raca:2 plays with [MASK] [MASK] . [SEP],thea:2,F . K . Sarajevo,0,F . K . Sarajevo,0
[CLS] Andy Cooke plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Burnley F . C .,0,Burnley F . C .,0
[CLS] Wally Quinton:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Shrewsbury Town F . C .,0,Shrewsbury Town F . C .,0
[CLS] Federico Lopez plays with [MASK] [MASK] . [SEP],thea:2,Team Quest,0,Team Quest,0
[CLS] Goran:2 Popov:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],FC FC .ia:3,SC Heerenveen:5,0,SC Heerenveen:5,0
[CLS] Johnny Sheppard:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,New York Americans,0,New York Americans,0
[CLS] Stefano Lorenzi:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,A . C . ChievoVerona:5,0,A . C . ChievoVerona:5,0
[CLS] René Bolf:2 plays with [MASK] [MASK] . [SEP],thea:2,Czech Republic national football team,0,Czech Republic national football team,0
[CLS] Nicolas Frey plays with [MASK] [MASK] . [SEP],thea:2,A . C . ChievoVerona:5,0,A . C . ChievoVerona:5,0
[CLS] Sandro:2 Ferreira:3 André plays with [MASK] [MASK] . [SEP],the club,Paykan:2 F . C .,0,Paykan:2 F . C .,0
[CLS] Bill Pulsipher:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,New York Mets,0,New York Mets,0
[CLS] Glenn Myatt:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Detroit Tigers,0,Detroit Tigers,0
[CLS] Jim Paterson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Dunfermline:5 Athletic F . C .,0,Dunfermline:5 Athletic F . C .,0
[CLS] Thomas Crean:3 plays with [MASK] [MASK] . [SEP],thes:2,British & Irish Lions,0,British & Irish Lions,0
[CLS] Arthur Leach:2 plays with [MASK] [MASK] . [SEP],thea:2,Collingwood Football Club,0,Collingwood Football Club,0
[CLS] Uwe:2 Harttgen:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,SV Werder:3 Bremen,0,SV Werder:3 Bremen,0
[CLS] Igor Matić:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club club .s:2,Serbia national under - 21 football team,0,Serbia national under - 21 football team,0
[CLS] Ermen:3 Benítez:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .o:2,Ecuador national football team,0,Ecuador national football team,0
[CLS] Tornike:3 Gorgiashvili:5 plays with [MASK] . [SEP],Dinamo,FC Samtredia:3,0,FC Samtredia:3,0
[CLS] Eddie Loyden:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Blackpool F . C .,0,Blackpool F . C .,0
[CLS] Dirk Hayhurst:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,San Diego Padres,0,San Diego Padres,0
[CLS] Luan:2 Pinari:3 plays with [MASK] [MASK] . [SEP],the club,Partizani:3 Tirana,0,Partizani:3 Tirana,0
[CLS] Andrei Mezin:2 plays with [MASK] [MASK] . [SEP],thea:2,Traktor:3 Chelyabinsk:5,0,Traktor:3 Chelyabinsk:5,0
[CLS] Rasim:3 Ramaldanov:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club - .a:2,Sumgayit:5 PFC:2,0,Sumgayit:5 PFC:2,0
[CLS] Gary Bollan:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Livingston F . C .,0,Livingston F . C .,0
