sentence,prediction,gold,is_same
[CLS] Jack Melloy:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Paul Piesse:2 is a member of the [MASK] [MASK] political party . [SEP],P P,New Zealand Labour Party | New Zealand Labour Party,False
[CLS] Mark Norris is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Association of Alberta | Alberta Progressive Conservative Party | Progressive Conservative Association of Alberta | Progressive Conservative Party of Alberta | Tories:2,False
[CLS] Hamid Khan is a member of the [MASK] [MASK] political party . [SEP],Pakistan Pakistan,Pakistan Tehreek:3 - e - Insaf:3 | PTI:2 | Pakistan Movement for Justice | Pakistan Tehreek:3 - e - Insaf:3,False
[CLS] Louis Ruchonnet:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],L ' Union,Free Democratic Party of Switzerland | FDP | Free Democratic Party of Switzerland | PLR:2 | PRD:2,False
[CLS] Aruna:2 Kumari:2 Galla:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] P . J . Sheehan:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Jana,Fine Gael:2 | Fine Gael:2,False
[CLS] Mate Granić:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Serbia,Croatian Democratic Union | Croatian Democratic Union | HDZ:2,False
[CLS] Georges Mamelonet:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Démoc:3,Quebec Liberal Party | PLQ:2 | Parti liberal du Quebec | Parti libéral du Québec | Quebec Liberal Party,False
[CLS] Alfred Gilpin:2 Jones is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Anti - Confederation Party | Anti - Confederation Party,False
[CLS] James McKay Harding is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Association of Nova Scotia | Progressive Conservative Association of Nova Scotia | Progressive Conservative Party of Nova Scotia,False
[CLS] Paranjape:3 Prakash:3 Vishvanath:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Janata:2 Party,Shiv:2 Sena | Shiv:2 Sena,False
[CLS] Masashi:2 Ishibashi:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],JJJ:3,Social Democratic Party | Social Democratic Party | Social Democratic Party of Japan,False
[CLS] Vasil:2 Biľak:3 is a member of the [MASK] [MASK] political party . [SEP],Slovakian:2,Communist Party of Czechoslovakia | Communist Party of Czechoslovakia | KSČ:2,False
[CLS] Michael Clapham:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] Kyle Seeback:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Greensboro:3,Conservative Party of Canada | Conservative Party of Canada | Parti conservateur du Canada | Tories:2,False
[CLS] Royal Theodore Graham is a member of the [MASK] [MASK] political party . [SEP],Sovereign:2,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Girish:3 Bapat:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Cameron Murphy is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] John Curtin:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Lords,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Michael Aird:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Klaus - Dieter Fritsche:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Nazi Party of Germany,Christian Social Union of Bavaria | CSU | CSU ( DE ) | Christian Social Union in Bavaria | Christian Social Union of Bavaria | Christlich:2 - Soziale:2 Union,False
[CLS] Donald Ewen:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Progressive Conservative Party of Ontario | Ontario Progressive Conservative Party | Parti progressiste:2 - conservateur de l ' Ontario | Progressive Conservative Party of Ontario | Tories:2,False
[CLS] Katrina Shanks:2 is a member of the [MASK] [MASK] political party . [SEP],United States,New Zealand National Party | National Party of New Zealand | New Zealand National Party,False
[CLS] Achille - Ferdinand Carrier is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Quebec Liberal Party | PLQ:2 | Parti liberal du Quebec | Parti libéral du Québec | Quebec Liberal Party,False
[CLS] Arthur - Joseph Lapointe:3 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] R . Margabandhu:4 is a member of the [MASK] [MASK] political party . [SEP],Congress Party,All India Anna Dravida:3 Munnetra:3 Kazhagam:4 | AIADMK:4 | All India Anna Dravida:3 Munnetra:3 Kazhagam:4,False
[CLS] Barry Seal is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] Luigi Di Maio is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Social Party,Five Star Movement | Five Star Movement | M5S:3 | Movimento 5 Stelle | Movimento Cinque:2 Stelle,False
[CLS] Robert Greenshields:4 Meikle:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Quebec Liberal Party | PLQ:2 | Parti liberal du Quebec | Parti libéral du Québec | Quebec Liberal Party,False
[CLS] Jan Rokita:2 is a member of the [MASK] [MASK] political party . [SEP],Czech Republic,Civic Platform | Civic Platform | Platforma:2 Obywatelska:4,False
[CLS] David Hernández Vallín:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Llibre:3,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] R . T . Inbathamilan:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Rajya:2 Party,All India Anna Dravida:3 Munnetra:3 Kazhagam:4 | AIADMK:4 | All India Anna Dravida:3 Munnetra:3 Kazhagam:4,False
[CLS] Ad Koppejan:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Christian Democratic Appeal | CDA:2 | Christen Democratisch:2 Appel:2 | Christen Democratisch:2 Appèl:2 | Christian Democratic Appeal,False
[CLS] Paul Blobel:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],L . A .,Nazi Party | NSDAP | National Socialist German Workers ' Party | Nationalsozialistische:4 Deutsche Arbeiterpartei:2 | Nazi Party,False
[CLS] Allan Mansoor:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,California Republican Party | California Republican Party,False
[CLS] Charles Ruijs:2 de Beerenbrouck:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],PvdA:3,Roman Catholic State Party | Roman Catholic State Party,False
[CLS] Agneta:3 Ringman:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Ar Ar Ar,Swedish Social Democratic Party | Socialdemokraterna:5 | Sveriges socialdemokratiska:5 arbetareparti:4 | Swedish Social Democratic Party,False
[CLS] Michael Brennan is a member of the [MASK] [MASK] political party . [SEP],United States,Progressive Democrats | Democratic Party of Ireland | PD | Progressive Democrats,False
[CLS] Yolanda:2 González Hernández is a member of the [MASK] [MASK] [MASK] political party . [SEP],L L L,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Charles Hueber:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Nazi Party | NSDAP | National Socialist German Workers ' Party | Nationalsozialistische:4 Deutsche Arbeiterpartei:2 | Nazi Party,False
[CLS] Bill Edmonds:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Ludwig Erhard:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Christian Democratic Union | CDU | Christian Democratic Union | Christian Democratic Union of Germany | Christlich:2 Demokratische:3 Union | Christlich:2 Demokratische:3 Union Deutschlands,False
[CLS] Robert Gladstone:3 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Margarita Flores Sánchez is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],People of the Philippines,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Pratibha:3 Singh is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Arnold Darroch:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Douglas Abbott is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Harry Butcher:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Peter Wood is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Tarja:2 Cronberg:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],social - social,Green League | Green League | Gröna:4 förbundet:2 | Gröna:4 förbundet:2 r . p . | Ruona:3 lihttu:3 | Ruona:3 lihttu:3 r . b . | Ruoná:3 lihttu:3 | Vihreä:3 liitto:2 | Vihreä:3 liitto:2 r . p .,False
[CLS] Alan Leong:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of China,Civic Party | Civic Party,False
[CLS] S . Pasupathipillai:5 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Bharati:3,Tamil National Alliance | TNA | Tamil National Alliance,False
[CLS] Waride:2 Bakari:2 Jabu:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],BJP:3,Party of the Revolution | CCM:2 | Chama:2 cha Mapinduzi:3 | Party of the Revolution,False
[CLS] Huang Ju is a member of the [MASK] [MASK] [MASK] political party . [SEP],People ' s,Communist Party of China | CCP:2 | CPC:2 | Chinese Communist Party | Communist Party of China | TG:2,False
[CLS] Josep Ibarz:3 i Gilart:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Democratic Convergence:3 of Catalonia | CDC | Democratic Convergence:3 of Catalonia,False
[CLS] Yosef:2 Kushnir:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Shi Shi Shi,Mapam:2 | Mapam:2,False
[CLS] Mike Ward is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Values:2 Party | Values:2 Party,False
[CLS] Halina:2 Rozpondek:4 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Civic Platform | Civic Platform | Platforma:2 Obywatelska:4,False
[CLS] Reed Scowen:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Quebec Liberal Party | PLQ:2 | Parti liberal du Quebec | Parti libéral du Québec | Quebec Liberal Party,False
[CLS] Tim Barnett is a member of the [MASK] [MASK] political party . [SEP],United States,New Zealand Labour Party | New Zealand Labour Party,False
[CLS] Carlos Castillo Peraza:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,National Action Party | National Action Party | PAN | Partido Accion:2 Nacional | Partido Acción Nacional,False
[CLS] Russell Kerr is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] Pierre Vaillandet:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],divers - gauche,French Section of the Workers ' International | French Section of the Workers ' International | SFIO:2 | Section Française de l ' Internationale Ouvrière:3,False
[CLS] James Brien is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Pierre Reid is a member of the [MASK] [MASK] political party . [SEP],P P,Quebec Liberal Party | PLQ:2 | Parti liberal du Quebec | Parti libéral du Québec | Quebec Liberal Party,False
[CLS] K . Karunakaran:3 is a member of the [MASK] [MASK] political party . [SEP],Congress Party,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Jerzy Kawalerowicz:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Poland,Polish United Workers ' Party | PZPR:3 | Polish United Workers ' Party,False
[CLS] Youssef:3 Amrani:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Af Af Af Af Af,Istiqlal:3 Party | Istiqlal:3 Party,False
